ticket_id,driver_id,timestamp,category,message,status
T-1001,D-LON-001,2026-03-02 08:30,Airport," Heathrow T5 queue: 135 min wait, fare was £6.20 to the local Hilton. This is the 3rd time this week. Please investigate.","OPEN"
T-1002,D-LON-002,2026-03-02 10:45,Payment,"Fare from LCY to Canary Wharf (£28) says 'Processing' for 5 hours. Passenger has already left. Where is my money?","OPEN"
T-1003,D-LON-003,2026-03-02 09:15,Technical,"Stuck in a trip in Soho. Geofence won't let me end the fare even though I am at the pin. I am losing time.","OPEN"
T-1004,D-LON-004,2026-03-01 22:00,Quest,"Finished the weekend quest with 48/50 trips. I stayed online but the app didn't send me a single offer for the last 2 hours. Not fair.","OPEN"
T-1005,D-LON-012,2026-03-02 07:00,Airport,"Gatwick queue wait was 110 mins. Fare was a 2-mile local drop off. I'm a Silver driver, this is very frustrating.","OPEN"
T-1006,D-LON-025,2026-03-02 11:30,Technical,"App crashed as I arrived at the Shard. GPS froze and I had to restart. Now it says the trip is still active.","OPEN"
T-1007,D-LON-001,2026-02-28 14:20,Airport,"Another short fare from LHR. 95 min wait for a £8.50 trip. Something is wrong with the queue logic.","CLOSED"
T-1008,D-LON-031,2026-03-01 19:00,Cancellation,"Passenger didn't show at King's Cross. I waited 10 mins and cancelled but I got charged £5? Please refund.","OPEN"
T-1009,D-LON-043,2026-03-02 08:00,Payment,"Long fare to Reading (£95) isn't showing in my daily balance. Can you confirm if payment went through?","OPEN"
T-1010,D-LON-001,2026-02-24 10:00,General,"How do I request a new FREENOW window sticker for my car?","RESOLVED"
T-1011,D-LON-054,2026-03-02 12:15,Airport,"Airport short fare again. 120 min wait at Heathrow for a 1.5 mile trip. Unacceptable.","OPEN"
T-1012,D-LON-003,2026-02-20 16:00,Technical,"The Soho geofence issue is happening again. It happens every time I drop off at Old Compton St.","CLOSED"
T-1013,D-LON-066,2026-03-01 09:30,Airport,"140 min wait at LHR T2. Fare was to Hounslow (£9). This is my 4th short fare this month.","OPEN"
T-1014,D-LON-019,2026-03-01 21:00,Payment,"App glitched during payment for trip to Brixton. Transaction shows as 'Failed' but passenger says they were charged.","OPEN"
T-1015,D-LON-072,2026-03-02 10:15,Airport,"LHR queue is 150 mins. Fare was 2 miles. I'm going home for the day.","OPEN"
T-1016,D-LON-085,2026-03-01 11:00,Technical,"GPS glitch in Mayfair. App froze and I missed a high-value offer.","OPEN"
T-1017,D-LON-002,2026-01-15 09:00,General,"When will my new ID badge be posted?","RESOLVED"
T-1018,D-LON-091,2026-03-02 06:30,Payment,"Morning shift earnings (£62) haven't cleared yet. Usually it's instant for Gold drivers.","OPEN"
T-1019,D-LON-037,2026-03-01 14:45,Technical,"App glitched near London Bridge. Couldn't end trip for 15 mins. Stuck in geofence.","OPEN"
T-1020,D-LON-060,2026-03-02 09:30,Airport,"Waited 115 mins at Gatwick. Short fare again. Does my Silver status not matter?","OPEN"
T-1021,D-LON-012,2026-02-15 11:00,Airport,"Question about Heathrow terminal access fees.","RESOLVED"
T-1022,D-LON-049,2026-03-01 18:00,Technical,"App crashed mid-trip. Had to use Google Maps to finish. Payment seems fine but it was stressful.","CLOSED"
T-1023,D-LON-006,2026-03-02 10:30,Airport,"Airport wait vs reward is totally off today. 140 min wait for a £10 trip to Crawley.","OPEN"
T-1024,D-LON-073,2026-03-01 10:15,Technical,"App won't let me end trip at King's Cross. GPS says I'm still at Euston.","OPEN"
T-1025,D-LON-025,2026-02-10 14:00,General,"Can I get a summary of my earnings for 2025?","RESOLVED"
T-1026,D-LON-078,2026-03-02 08:00,Airport,"Short fare from LHR. 120 min wait. Losing patience with the airport queue.","OPEN"
T-1027,D-LON-079,2026-03-01 19:30,Payment,"Payment pending for over 24 hours for my Saturday night shift. £110 total.","OPEN"
T-1028,D-LON-004,2026-01-20 16:30,General,"How do I change my profile photo?","RESOLVED"
T-1029,D-LON-001,2026-03-02 11:45,General,"Need clarification on the new EV bonus scheme.","OPEN"
T-1030,D-LON-090,2026-03-01 17:00,Payment,"Payment for trip D-LON-090-T88 (£45) hasn't cleared. App glitched at end of trip.","OPEN"
T-1031,D-LON-096,2026-03-02 10:15,Airport,"Short fare again. 110 min wait at Gatwick. Not worth the time.","OPEN"
T-1032,D-LON-097,2026-03-01 14:45,Technical,"App glitched in Mayfair. Couldn't end trip for 15 mins. Stuck in geofence.","OPEN"
T-1033,D-LON-008,2026-03-02 09:00,General,"Checking if my insurance docs have been verified.","OPEN"
T-1034,D-LON-015,2026-03-01 08:30,Technical,"Geofence issue at Canary Wharf. Took 10 mins to end the trip.","OPEN"
T-1035,D-LON-022,2026-03-02 07:15,Quest,"I'm only getting short offers today. I won't finish my quest at this rate.","OPEN"
T-1036,D-LON-028,2026-03-01 12:00,Payment,"Trip to Brighton (£120) is showing as £0 in my history. Please fix.","OPEN"
T-1037,D-LON-041,2026-03-02 10:00,Airport,"130 min wait at Heathrow. Fare was 3km. Can I get priority for the next one?","OPEN"
T-1038,D-LON-056,2026-03-01 15:30,General,"Reporting a lost umbrella in my vehicle.","OPEN"
T-1039,D-LON-063,2026-03-02 11:00,Technical,"GPS is very glitchy in the City of London today. Missing many jobs.","OPEN"
T-1040,D-LON-070,2026-03-01 16:45,Cancellation,"Passenger cancelled as I arrived but I didn't get the £5 fee. Please check.","OPEN"
T-1041,D-LON-075,2026-03-02 09:15,Airport,"Short fare from Gatwick after 100 min wait. Very poor experience today.","OPEN"
T-1042,D-LON-082,2026-03-01 08:00,Payment,"My daily payout for Friday hasn't arrived in my bank account.","OPEN"
T-1043,D-LON-089,2026-03-02 06:45,Technical,"App crashed twice this morning. Had to reinstall. Is there a server issue?","OPEN"
T-1044,D-LON-095,2026-03-01 20:30,Airport," Heathrow wait was 150 mins. Trip was £7. I'm going to work for a competitor.","OPEN"
T-1045,D-LON-002,2026-02-28 23:30,Payment,"Trip D-LON-002-T55 (£15) is missing. This is the second glitch this week.","CLOSED"
